Labels,Translation,Decision
"Wedding dress, Photograph, Dress, Gown, Bridal clothing, Bride, Beauty, Fashion, Bridal accessory, Event",Photos Using special cinematic effects ... an Australian sculptor builds art that is almost surprisingly realistic! See the photos .. Al-Quds Newspaper Carving out the art of Australia,fake 
"People, Event, Community, Forehead","Free breakfast and shaving in the old town of Hebron, and the launch of the city gate within the Hebron Festival, Jerusalem newspaper, Palestine",real
"Event, Businessperson, Gesture, Employment, White-collar worker, Official, Handshake, Management",King Abdullah II opens the new free zone at Queen Alia International Airport .. Jerusalem Newspaper Jordan opens the Jordanian kingdom,real 
"People, Social group, Youth, Event, Crowd, Tourism, Recreation, Team","The Palestinian police organize an entertainment day for the students of the Kafr El-Aboush primary school in Qalqilya. Al-Quds newspaper, Palestine",real 
"Player, Sports, Soccer player, Sport venue, Sports equipment, Football player, Team sport, Ball game, Football, Soccer",Historic victory for the Palestinian guerrilla team over the national team of Uzbekistan in the double qualifiers for the World Cup _2022 and the Cup_Asia_2023 Al-Quds newspaper Palestine Sports Uzbekistan,real 
"Event, Rabbi","Photos During the sit-in of civil society institutions, a number of national and Islamic forces, the governor of Jerusalem, Sheikh Ikrima, Sabri, Father Atal, Hanna, and the men of reform and clans, in front of the headquarters of the Relief and Relief Agency, against the US decision to withhold funds and reduce its services to refugees. Photography by Ahmed_jelagel, Jerusalem newspaper, Palestine",real
"Medicinal mushroom, Fungus, Mushroom, Sculptor",Blueberry is one of the oldest popular dishes in Salfit .. Al-Quds Newspaper is the heritage of Palestine,fake 
"Bird, Laughing kookaburra, Beak, Flightless bird, Penguin, Coraciiformes","An old woman from Australia over 80 years old, sewed woolen clothes for the endangered penguins, to protect them after large numbers of them were killed due to pollution caused by oil and its derivatives .. What do you think do the penguins look more beautiful with these clothes? Jerusalem_ Newspaper by",real 
"Product, Job, Electronics, Machine, Event, Technology, Employment, Engineering, Machine tool",Photos President Mahmoud Abbas during the opening of the works of the Fourth National Forum. The Industrial Revolution. Fourth Photo by: Thaer_ Ghanayem Jerusalem Newspaper Palestine,fake 
"Black, Light, Darkness, Font, Photography, Backlighting, Space, Crescent, Symbol","Details of Apple's conference on launching the new Apple revealed today, Tuesday, in its live broadcast from the Steve Jobs Theater in YouTube, about its new iPhone_11 during its annual conference in California. Where the company announced the launch of three new smartphones from the iPhone11 Pro model with a 5.8-inch screen, the iPhone11 Pro phone with a 6.5-inch screen, and a low-cost iPhone 11 with a 6.1-inch screen. Among the new specifications of the devices, triple rear camera system, charging system, colors and more. The pre-order on the phones is expected to open on Friday, September 13, and to be available for purchase in stores on Friday, September 20. As for the prices of the iPhone 11 devices, it is expected that the iPhone 11 Pro phone will start from 1200 dollars, while the price of the iPhone 11 Pro Max will start from approximately 1350 dollars, and the iPhone 11 with the lowest specifications and the cheapest cost, about 987 dollars. Apple has also added two new colors to its iPhone collection this year, in an attempt to entice customers, despite its adherence to black, white, silver, gold, and pink gold, which are green and purple. As for the screen design of the iPhone 11 devices, the company will keep the same design for previous phones, which means that there is no home button, sensor or audio connector. Al-Quds Newspaper",fake
"Clothing, Pink, Green, Beauty, Dress, Sitting, Grass, Fashion, Spring, Botany",The Duchess of Cambridge Kate Middleton opens her garden at the Chelsea Flower Show with the aim of highlighting how to spend time outdoors. The Duchess featured a floral embroidered gown designed by Emilia Wickstead. Al-Quds Newspaper Kate_Medleton,real
Event,"Photos Ice cream in the form of a shawarma skewer .. It is called in Turkey with a refreshing ice cream .. It dates back to the Ottoman state, where it was then called “Qarsmbach” .. It has extended to this day to reach several countries in the world .. Starting with China and passing through South_Africa, the United States and even the Maldives .. Whoever tasting it testifies to you the delicious taste that was the reason for its spread in this way? Al-Quds Newspaper",real
"Clothing, White, Jeans, Footwear, Street fashion, Waist, Leg, Fashion, Sportswear, Outerwear","A practical outlook for the Duchess Megan Markle on the first day of her practical return since she gave birth to her in order to launch a new fashion group whose revenues go to help a charity that supports unemployed women. Al-Quds newspaper, Britain, Meghan_Markle, works of charity fashion",real
"People, Fun, Muscle, Sitting, Leg, Vacation, Smile, Family, Child, Happy","Photos A child is born without a nose .. But his smile does not depart from his face .. The child Elie was born in the city of Foley in Alabama without a nose and it is a very rare case called the &quot;congenital_exhaustion&quot; of the nose, where there are no external nasal structures, and the rarity of this case lies in that it may occur by 3 cases per 197 one million population ! Al-Quds Newspaper",real 
"People, Tree, Iron, Woody plant, Crowd, Event, Fun, Plant, Tourism, Metal",When they said .. The witness in the grapes of Hebron .. We do not think they have sinned .. The creativity of the Palestinian grape festival yesterday in the city of Hebron is only clear evidence of that .. We leave you with the pictures .. Al-Quds newspaper,real
"Night, Sky, Metropolitan area, Moon, City, Light, Human settlement, Urban area, Midnight, Metropolis","Photos The city of Nazareth .. Beautiful Palestine .. Of the occupied Palestinian cities, its land area is 14 square kilometers, and it rises above the sea level 347 m, and its ancient Canaanite name is the city of Abel, meaning life, and is called the name of the bride of Galilee. Its first municipality was established in the year 1875 AD and the city is considered a cultural and administrative center for the Arabs of the interior - occupied after the events of the Nakba in 1948 AD. Photography: Jamal, Kiwan, Al-Quds newspaper, photo_ today",real
"Land vehicle, Vehicle, Car, Luxury vehicle, Automotive design, Personal luxury car, Auto show, Full-size car, Wheel, Sedan",Photos Mercedes_Maybach_AS_Class_2019 is the most prestigious version of the Mercedes S-Class cars .. Is there a buyer? Al-Quds Cars Newspaper,real 
Fictional character,"Photos The profession of making pottery is one of the traditional professions in which the citizen Jamal Al-Fakhoury was created in the town of Jaba, south of Jenin. Photo: Uday_Daibis Wafa",real
"Canidae, Dog, Dog breed, Carnivore, Tail, Sporting Group, Fawn, Puppy, Chihuahua",Photos He did not lie when they said: Sleep is Sultan .. Al-Quds newspaper,fake 
"Plant, Leaf, Adaptation, Hand, Gardener, Flower, Plantation, Herb","Strawberry growing season in Beit Lahiya farms, northern Gaza Strip. Lens: Hani_ Al-Badi newspaper, Jerusalem, Palestine",real
"Fun, Mascot, Magenta, Recreation, Costume, Vacation",From Disneyland preparations for Halloween,fake
"Child, People, Baby, Toddler, Grandparent, Arm, Sitting, Family, Birth, Family pictures","Royal Archie has caught everyone's attention after he first appeared with his parents, Prince Harry and Meghan, on their royal tour in South Africa, the first time Archie has participated in an official tour since his birth _ Jerusalem Megan _ Harry Archie",real
"Cat, Small to medium-sized cats, Whiskers, Felidae, Domestic short-haired cat, Tabby cat, European shorthair, Carnivore, Kitten, Asian","This cat is called, has a sad face and nothing on this planet will make him happy! Jerusalem newspaper, Miscellaneous, animal world, cats, sad, cat",real
"Mammal, Vertebrate, Wildlife, Gazelle, Antelope, Impala, Springbok, Pronghorn, Terrestrial animal, Plant community","The mountain gazelle in the northern Jordan Valley, Al-Quds Al-Hayat newspaper, wild",real
"Tile, Road surface, Sidewalk, Flagstone, Cobblestone, Floor, Flooring, Sitting, Asphalt, Concrete","Photos The art of drawing on the road .. Created by the young man in the name of Ashour, as he is drawing charcoal paintings near the beach in Gaza .. Al-Quds Newspaper Palestine Gaza Gaza Creativity drawing",real
"City, Metropolitan area, Urban area, Metropolis, Cityscape, Daytime, Skyscraper, Skyline, Sky, Human settlement","Gaza City .. As you have not seen it before. Photo: Youssef Balousha, Jerusalem Jerusalem newspaper",fake
"Grass, Photography, Recreation, Plant, Competition event, Leisure, Games","Photos Shami goats is a rare species of goats and is very expensive .. It was brought to Palestine in 2000 from several Arab countries such as Jordan, Iraq, Syria and some Gulf countries, where the price ranges between 2000 dollars to more than 20 thousand dollars per head! This type of goat requires special care and extreme care in breeding because it is sensitive to high and low temperatures .. not to mention the quality of special food that must be provided to him to maintain the breed and its type .. These photos were taken from the second Palestine Festival and Auction of Shami goats in Ramon Baram village God .. Photo: Muhammad Silwadi Have you ever acquired a similar kind ... or have you reckoned to own one? Jerusalem_ Newspaper Palestine",real
"Botan shrimp, Fish, Food, Fish products, Fish, Comfort food, Cuisine, Dish, Sashimi, Sushi",Turning food into great artifacts .. Al-Quds Newspaper The art of serving food is a variety,real 
"Sky, Road, Neighbourhood, Town, Lane, Street, Urban area, Morning, Evening, City",Sunset from Palestinian Jaffa Newspaper Jerusalem Jerusalem Palestine Jaffa,real
"People, Crowd, Event, Community, Team, Protest, Metal",New number in Guinness World Records .. A Palestinian in Canada attains the longest_sandwich_shawarma in the world with a length of 152 feet 47 meters_Al-Quds Newspaper creativity of shawarma food_standard number,fake
"Hair, Face, Child, Head, Skin, Toddler, Eyebrow, Cheek, Forehead, Shoulder",Photos Parents are often embarrassed when they take their child to make a ray image because of their movement and fear .. But with this invention they will not be embarrassed after today! A device called a plastic cylinder inside which the child is placed to prevent his movement while taking a x-ray. What do you think of this invention? Al-Quds Newspaper,real 
"Interior design, Architecture, Iron, Table, Furniture, Room, Material property, Stock photography, Wood, Square",A unique skill for the Egyptian youth Ahmed Refai in building architectural designs in a professional manner using playing cards. Is it worth entering the Guinness Encyclopedia for this work?,real
"Table, Photography, Furniture, Machine",Are your children unsteady while taking x-rays? Here is the x-ray machine called .. where the child is placed inside a plastic tube to keep it immovable,real 
"Tradition, Musical instrument","Alzamzma assigned to water the pilgrims in the holy city of Mecca - distribute 19 million liters of water - Zamzam to the guests of Rahman. Al-Quds newspaper, the Hajj season",fake 
"Skin, Wrinkle, Elder, Mouth, Headgear, Hand",Photos The Hajj regiments depart for Arafat to perform the greatest pillar of the Hajj Newspaper _ Jerusalem Season _ The Hajj The pilgrimage Mecca Mecca,fake
"People, Crowd, Event, Demonstration, Audience, Tourism",A picture from Al-Aqsa Mosque today ... Al-Quds Newspaper Palestine Al-Aqsa Mosque Our Day_ Rabat Hajj Eid Al-Adha,fake
"Motor vehicle, Transport, Mode of transport, Rain, Vehicle, Pedestrian, Car, Snow, Precipitation, Road","The best pilgrimage photos for this year ... Al-Quds newspaper, Al-Hajj, Eid Al-Adha, today",fake
"People, Facial expression, Smile, Wall, Outerwear, Cool, Headgear, Photography, Happy, Tourism",You a beautiful .. ! Photographer Mohammed Issam told her to these mothers after he took a normal photo of them .. Then he took the pictures again after telling them that they are beautiful .. This was their reaction .. Al-Quds Newspaper,fake 
"Viaduct, Bridge, Arch bridge, Transport, Trestle, Aqueduct, Devil's bridge, Hill station, Watercolor paint, Highland","The Glenfinnan Bridge, one of the most beautiful architectural bridges, is located on the western highlands of Scotland and is the first bridge in the world to use concrete blocks, and it was the scene for filming the famous film series Harry Potter. Jerusalem Newspaper - Glenvenin Bridge, Scotland",real
"Bird, Vertebrate, Beak, Duck, Water bird, Ducks, geese and swans, Waterfowl, Grass, Goose, Adaptation",Photos A world of motherhood that is not limited to human beings .. See the categories of care and compassion for animals as well.,real 
"Crowd, People, Audience, Event, Community, Adaptation","Photos The funeral of the bodies of the three martyrs who died targeting an Israeli yesterday night in the northern Gaza Strip. Photo: Mohammed Al-Masry Al-Quds Newspaper, Sad, martyrs of Palestine bombed",fake
"Sunflower, Yellow, Organism, sunflower, Flower, Crochet, Pattern, Plant, Textile, Pollen",Sunflower fields in western Turkey attract photography enthusiasts from all over the world Al-Quds newspaper Sunflower Turkey nature,real 
"Grape, Natural foods, Grapevine family, Sultana, Fruit, Plant, Vitis, Seedless fruit, Local food, Food","With the start of the grape season ... Here are pictures of the best of Palestine from grapes in Khan Yunis, southern Gaza Strip. Photo: Ashraf Omra, Jerusalem newspaper.",real
"Mammal, Horn, Vertebrate, Wildlife, Antelope, Terrestrial animal, Hartebeest, Kudu, Snout, Waterbuck","Glory be to the great ... The famous Danish photographer &quot;Muggens Troll&quot; spotted a number of unique shots of the &quot;Saiga&quot; antelope with its long, unusual nose, in the Stepno Natural Reserve in southern Russia. According to the British newspaper &quot;Daily Mail&quot;, the most noticeable thing in the Saiga antelope is its long nose hanging from its face, covering its mouth to prevent dust from entering the lungs during its summer migration. And in the winter, the long hanging nose warms the cold air before it enters its lungs, so the Saiga antelope can travel 620 miles, which is equivalent to 1,000 km south of the mating. Jerusalem newspaper, Palestine, nature",real
"Yağlı Güreş, Folk wrestling, Wrestling, Muscle, Combat sport, Individual sports, Contact sport, Grappling, Sports, Barechested","The sport of oil wrestling .. spread in Turkey, where the Turks practiced for 7 centuries and turned into a traditional heritage sport practiced by adults and children and annual festivals are held for it. Jerusalem newspaper. Turkey wrestling is a popular sport.",real
"Land vehicle, Vehicle, Car, Motor vehicle, City car, Yellow, Classic car, Subcompact car, Automotive wheel system, Electric car",BMW Museum in Munich The city of Munich in the German province of Bavaria cannot be visited without visiting the museum of the most famous BMW company in the world.,real
"Bird, Water bird, Duck, Bird migration, Animal migration, Sky, Waterfowl, Wildlife, Adaptation, Ducks, geese and swans",Photos Pink flamingos in Turkish Konya .. an example of order .. They walk in regular queues and draw beautiful shapes .. Al-Quds Newspaper,real
"Vertebrate, Mammal, Macaque, Primate, Zoo, Snout, Wildlife, Guenon, Drill, Animal shelter",After 3 days of searching ... the monkey fleeing from Lebanon was found inside Ein al-Assad in Galilee .. Lebanon asked Israel to return it and will decide later,real
"Panda, Mammal, Vertebrate, Nature reserve, Terrestrial animal, Wilderness, Natural environment, Biome, Adaptation, Snout","Chinese reserve publishes new photos of pandas, a nature reserve in China has released new shots of pandas playing with each other. The park management reported that the pandas are in good health.",real 
"Dish, Food, Cuisine, Ingredient, Meal, Recipe, Baking, Brunch, Produce, Dessert",Volunteers prepare Ramadan Iftar meals in the Nablus hospice. Photo: Ayman Nobani / Wafa,real
"Vertebrate, Bird, Beak, Galliformes, Fowl, Partridge, Phasianidae, Wildlife, Tree, Adaptation","Nature in Palestine ... the chennar laying eggs ... the Jerusalem newspaper, the chennar, the nature of Palestine, the spring",real 
"Snake, Reptile, Viper, Sidewinder, Rattlesnake, Scaled reptile, Python, Python family, Serpent, Terrestrial animal",Early emergence of Palestine Snake Please be careful .. Al-Quds newspaper Palestine Palestine Snake_ Palestine Nature Spring,real
"Dish, Cuisine, Food, Ingredient, Baked goods, Baking, Snack, Dessert, Finger food, Cookie",Friday is family day and breakfast has special traditions .... Al-Quds Newspaper Palestine Manakish Friday_ Blessing,real
"Primate, Adaptation, Human, Wildlife, Common chimpanzee, Photography, Orangutan, Temple, Jungle, Smile","A Congolese zoo guard worker captures a selfie with a gorilla. Many people often pick up the selfie to document their happy moments and occasional adventures, and the security guard at the Congo National Park did not expect that the photo he took would spread lightning quickly across various social media platforms in a few minutes. Virunga, a security worker in the Congo National Park, released a photo that compiles him with the gorilla who is protecting and caring for him on a daily basis, and it seems that the predator has a close relationship with the security factor. Jerusalem_Palestinian CongoMiscellaneous",real  
"Text, Handwriting, Paper, Writing, Document, Paper product, Font, Diary, Plant, Calligraphy",Restoring some of them costs 60 thousand dollars .. 4000 manuscripts in the Al-Aqsa Mosque _ Al-Quds Newspaper,real 
"Cat, Felidae, Companion dog, Photography, Small to medium-sized cats, Kitten",A Strays of Gaza youth team from Gaza helps stray animals and provide them with appropriate health care Newspaper _ Jerusalem Palestine Varieties Gaza Help_Animals,real
"Event, Performance, Smile, Tradition, Happy, Dancer, Cheering, Child, Fashion accessory, Team",Miss South Africa Zuzibini Tunzi crowned Miss Universe # Beauty_South_Africa # Competition,real
"Motor vehicle, Vehicle, Mode of transport, Water, Transport, Car, Flood, Rain, Minibus, Event",The rain is sinking Lebanon .. and citizens in boats! # Lebanon # Rains # Boats # Winter # Floods,real 
"Strawberries, Strawberry, Plant, Fruit, Berry, Strawberry tree, Accessory fruit, Flower, Natural foods, Food",Excellent strawberries from Gaza #gaza # strawberry #fruits # Palestine # agriculture,real 
"Ice hotel, Water, Building, Thermae, Swimming pool, Architecture, Thermal bath",The Snow Hotel in Sweden melts and is rebuilt every year and receives 50 thousand tourists annually .. # Jerusalem_ Newspaper # Snowy Hotel # Sweden # Miscellaneous,real
"Little black dress, Beauty, Skin, Dress, Fashion, Event, Formal wear, Smile, Photography, Team",Finland .. A new government led by five young women's faces # Finland # Government # Women # Europe # Democratic,real 
"Food, Dish, Cuisine, Ingredient, Vasilopita, Dessert","Harissa is one of the distinctive desserts in the city of Jenin, and the city is well known for it, especially with the onset of winter. Many people turn to it for warmth. How can it not taste good and an acceptable price # Al-Quds Newspaper # Sweets_winter # Harissa # Jenin food",real
"Ruins, Ancient history, Historic site, Archaeological site, Sky, History, Rock, Unesco world heritage site, Landscape, Column","Young men practice jumping barriers and combine gymnastics and martial arts, and some call it free running or parkour, in the ancient city of Shahat # Libya # sport # parkour # gymnastics # martial arts # running # newspaper # Jerusalem",real
"Landmark, Tree, Tower, Sky, Architecture, City, Metropolitan area, Spire, Woody plant, Urban area","In the Lebanese village of Chekka, the Christmas tree, which will enter the Guinness Book of Class, is enlightened by a larger model made of plastic containers. The tree is made of 129,000 empty plastic water bottles, 528 meters high. # Lebanon # Christmas # Christmas tree # Holidays",real
"Military uniform, Military, Soldier, Army, Air force, Military organization, Troop, Uniform, Vehicle, Military officer","Ivanka Trump, daughter and counselor of US President Donald Trump, during his visit to the American Air Force Base in Doha and the Qatar National Museum. # Ivanka_ Trump # Qatar # Base_Major # National Museum # Donald_Tram",real
"Land vehicle, Vehicle, Car, Luxury vehicle, Automotive design, Audi, Executive car, Grille, Sport utility vehicle, Mid-size car",The German Audi company distributes new cars to real Madrid players # Al-Quds newspaper # real_ Madrid # Gift # Audi # Miscellaneous,real
"Hair, Facial hair, Moustache, Hairstyle, Beard, Snake, Reptile, Cool, Scaled reptile",Fadl Nabhan .. A young man who loves snakes and prey hawks and lives among them # Gaza # Snakes # Falcons # Palestine # Jerusalem newspaper,real 
"Santa claus, Fictional character, Tourism, Fun, Tree, Architecture, Christmas, Fur, Statue, Winter",Santa Claus rides camels and spreads joy in the alleys of old Jerusalem ... # Jerusalem # Santa_Close # Christmas # Christianity,real
"Sky, Wave, Wind wave, Ocean, Cloud, Sea, Surfing, Blue, Daytime, Boardsport","In a majestic scene on the banks of the beaches of Nazari in Portugal, people lined up to watch the high waves crashing in a region famous for shows and competitions for surfers .. # Portugal # surf_waves # beach # competition",real
"Sky, Lighting, Horizon, Pink, Night, Rock, Evening, Sea, Landscape, Vacation",Sunset on the shore of the Sea of Gaza .. # Gaza # Beach # Sea # Palestine # Jerusalem_ Newspaper # Siege,real
"Arm, Shoulder, Glasses, Joint, Eyewear, Hand, Credit card","A cute new invention by Matti Benedetto, the author of the book Unnecessary Inventions, as this invention is suitable for people who feel pain in their hands when carrying things, especially when carrying books while reading, with this invention you can eat, drink or even hold the hand of your child while reading a book, what do you think With this invention? Do you know someone who needs it? # Al-Quds Newspaper # Miscellaneous # Inventions",real
"Umbrella, Rain, Pedestrian, Drizzle, Street, Precipitation, Urban area, Walking, Fashion accessory, Road",A deep air depression hit the Gaza Strip .. # low weather # winter # rain # Gaza,real  
"Mammal, Vertebrate, Wildlife, Terrestrial animal, Snout, Rodent, Adaptation, Organism, Prairie dog, Grassland","The portrait of Chinese photographer Yongqing Bao has taken a expressive photo of Marmot, in a situation that appears to be stunned without any movement on one foot, when he notices a fox running towards him. The photo won an award, which is distributed annually in the Natural History Museum in London. # Al-Quds Newspaper # Photo-General # Miscellaneous",real
"Fireworks, New Years Day, Midnight, Tower, Light, Holiday, New year's eve, Night, New year, Event",Dubai celebrations of the coming of the new year 2020 # Jerusalem newspaper # Dubai # Celebrations # Khalifa tower,real
"People in nature, Heat, Sunset, Sun, Sunrise, Orange, Backlighting, Sky, Afterglow, Evening",Sunset in Bangladesh # Bangladesh # sunset # sunset # sky,real 
"Cat, Small to medium-sized cats, Mammal, Whiskers, Felidae, Tabby cat, European shorthair, Carnivore, Domestic short-haired cat, Aegean cat","The death of Lil Boop, the most famous cat on the eighth year of communication, # cats # communication # variety # pet",real 
"Bridle, Horse, Halter, Rein, Horse tack, Recreation, Winter, Trail riding, Animal sports, Snow",North Korean leader Kim Jong Un on the back of a white horse in the holy mountain of Paektu #North Korea #Horse # Kim_Jung-un #Snow #Love #Major_Mountain,real
"Night, Sky, City, Metropolitan area, Cityscape, Urban area, Human settlement, Light, Darkness, Metropolis",The splendor of the evening in the city of Jerusalem # Jerusalem # Al-Aqsa # Palestine # Jerusalem newspaper,real
"Atmospheric phenomenon, Cycling, Landmark, Bicycle, Monument, Vehicle, Fog, Mode of transport, Tourism, Sky",The Eiffel Tower is steeped in fog # Eiffel Tower # Paris # Fog # Winter,real
"Dome, Dome, Building, Landmark, Holy places, Khanqah, Architecture, Place of worship, Shrine, Byzantine architecture",Jerusalem: Al-Aqsa Mosque this evening # Jerusalem # Al-Aqsa # Al-Aqsa Mosque # Palestine,real
"Dome, Holy places, Landmark, Dome, Building, Mosque, City, Cityscape, Urban area, Khanqah",Images from the Old City of Jerusalem and the Dome of the Holy Rock ... # Jerusalem # The Dome of the Rock # Al-Aqsa Mosque,real 
"People, Santa claus, Crowd, Product, Event, Community, Christmas, Fictional character, Team, Christmas eve",Contestants participate in the Santa Claus outfit in a marathon in Madrid .. # Santa_Close # Marathon # Spain # Christmas,real
"Mammal, Vertebrate, Dog, Canidae, Dog breed, Carnivore, Working dog, Fawn, Guard dog, Street dog","Talia Thabet .. A Palestinian woman from Gaza who tamed dogs. After her family’s house was stolen from a number of thieves, the idea of training dogs for the young woman, Thabet, a few months ago, the family decided to adopt these dogs as a way to secure the house and provide protection Personality of its residents, and in this way the young woman began training two dogs through her ability to simplify the information for them, in ways that evolved over time. # Al-Quds Newspaper # Gaza # Tame dogs # Women_Palestine # Today's photo",real
"Blue, Pattern, Furniture, Room, Design, Textile, Living room, Visual arts, Slipcover, Chair",An exhibition of Palestinian embroidery within a cultural festival in Kuwait # Kuwait # Palestine # Embroidery # Culture # Fashion,fake
"Demolition, Geological phenomenon, Rubble, Construction equipment, Vehicle, Blue-collar worker, Quarry, Earthquake",At least 20 dead and hundreds injured in the Albania earthquake # earthquake # Albania # dead # Europe # victims # destruction,real
"Event, Conversation, Wine glass, Food, Stemware, Tableware, White-collar worker, Taste, Glass, Drinkware","A restaurant whose crew suffers from Down syndrome, beats hundreds of competitors in Brussels # Restaurant # Brussels # Down syndrome",real
"Urban design, Architecture, Mosque, City, Building, Mixed-use, Metropolitan area, Landscape, Mecca, Stadium","Sheikh Khalifa Bin Zayed Mosque: It occupies a total area of 256 thousand and 680 square meters, while the built area of which is 15 thousand and 684 square meters and the mosque can accommodate more than 20 thousand worshipers, including five thousand and two hundred inside the main campus of the mosque &quot;under the dome&quot;, and one thousand two hundred worshipers in The covered inner spaces, fourteen thousand worshipers in the open outdoor squares, and in the mosque there are prayer halls and ablution places dedicated to women. # Al-Quds Newspaper # Mosque # Khalifa_Ben_Zayed # Photo_Today",real
"Formation, Cave, Stalagmite, Speleothem, Stalactite, Geological phenomenon, Geology, Coastal and oceanic landforms, Tourist attraction, World","Sorek Cave, the Upper Halimat Cave or the Cave of Candles, a cave located in Jerusalem on the western slopes of the Palestine Mountains in the Beit Sorek village area. Its area is about 5000 square meters. This cave was accidentally discovered in May 1968, during a bombing, and after discovering a secret that no one knows for unknown reasons, it remained. Geologists say this cave was formed about 25 million years ago. The Sorek Cave is very similar to the Jeita Grotto in Lebanon. By lens: Khalil Koua # Al-Quds Newspaper # Surek Cave # Jerusalem # Today's photo",real 
"Face, Forehead, Hair, Skin, Chin, Nose, Cheek, Eyebrow, Facial expression, Wrinkle",A Brazilian dentist decided to travel to the poorest places in Brazil and treat the teeth of the destitute who do not have the money to survive their day as well as fix their teeth ... these are before and after pictures of some of those who treated them for free # Al-Quds newspaper # Humanitarian # dentist # smile # Brazil # photo today,real
"Transport, Public transport, Red, Metro, Mode of transport, Rolling stock, Vehicle, Metro station, Passenger, Train",Fashion show in the Moscow metro .. # Fashion_ # Moscow # Russia # Metro # Fashion,real
"Polar bear, Bear, Polar bear, Natural environment, Atmospheric phenomenon, Arctic, Polar ice cap, Ice, Adaptation, Freezing","A polar bear weighing half a ton fell asleep on the surface of a frozen lake in the town of Churchill, Canada # Jerusalem newspaper # Miscellaneous # Polar bear # Tarif # Photo_day",real 
"Food, Fruit, Plant, Natural foods, Ingredient, Produce, Vegetable, Legume, Cuisine, Olive",# Pictures: Abu Jamal Iskandar from the city of # Acre selling Palestinian olives in the Swedish city of Malmö # The Jerusalem newspaper # Sweden # The olives # Palestine # Today's photo,real
"Neighbourhood, Town, Urban area, Street, City, Architecture, Building, Sky, Downtown, Human settlement",Malta and the most beautiful clips with the eye of the creative Palestinian photographer Areen Al-Renawi # Malta # photos # tourism # Palestine # Europe,real
"Geological phenomenon, Road, Mountain pass, Thoroughfare, Tree, Infrastructure, Plant community, Hill station, Landscape, Mountain","She lives in the Palestinian city of Bethlehem, the oldest and largest olive tree in Palestine, and is estimated to be about five thousand years old, and its size covers more than 250 square meters # Beth_ meat # Palestine # olives # trees # nature",real
"Soldier, Army, Military, Military uniform, Military organization, Military camouflage, Military officer, Military person, Infantry, Tree","King Abdullah II, Supreme Commander of the Armed Forces, accompanied by His Highness Prince Al Hussein, the Crown Prince, will visit today, Saturday, the Al-Ghamr area in Wadi Araba. # Jordan # Al-Bagoura and Al-Ghamr # Crown Prince Al-Thani # Al-Quds Newspaper",real
"Sitting, Companion dog, Human, Cat, Furniture, Canidae, Family, Comfort",Breed in Gaza .. A project to house stray and homeless animals .. # stray animals # cats # dogs # Gaza,real
"Outerwear, Personal protective equipment, Jacket, Trousers, Gothic fashion",Venice .. unprecedented floods that may threaten its historic buildings # Venice # Venice # Floods # Rains # Tourists,real
"Cat, Small to medium-sized cats, Felidae, Whiskers, Tabby cat, European shorthair, Domestic short-haired cat, Carnivore, Aegean cat, American wirehair","An initiative to adopt stray animals in Houston, Texas, # dogs # cats # America # initiative # Jerusalem newspaper # stray animals",real
"Panda, Vertebrate, Mammal, Bear, Nose, Carnivore, Terrestrial animal, Snout, Adaptation, Fur",A group of photos taken by supervisors at the Bayerisaysa Zoo in Belgium carrying a Panda de Panda. # Panda # pets # Belgium # animal # zoo,real
"Flower, Hand, Spring, Nail, Plant, Finger, Blossom, Gesture, Cut flowers","You are the safety for me, and life is for my life .. # blue_ love # blue _ blue # blue",fake
"Blue, Headgear, Tradition, Fashion accessory",God save you .. his eyes and his heart! #Blue_love #blue_blue #blue #blue,fake
"Blue, Porcelain, Textile, Linens, Table, Tableware, Hand, Wood, Ceramic, Dishware","Meeting does not require coffee, meeting your eyes and coffee is an argument .. #blue_love #heart_blue #blue #blue",fake
"Fishing net, Blue, Net, Fishing, Recreation, Pattern",Glory to the happy moments that deserve to be dated despite their simplicity. #Blue_love #blue_blue #blue #blue,fake
"Flower, Sky, Sunflower, Yellow, Cloud, Blue, Daytime, Petal, Plant, sunflower",And God writes good you do not know it and the apparent matter is a denial of the blessings # blue_ love # heart _ blue # blue # blue,fake
"Hand, Art, Cool, Visual arts, Artist, Finger, Illustration, Paint, Watercolor paint, Space","If you find a light in your heart that tells you that you are making a mistake, know that your heart is still shining .. #blue_love #blue_blue #blue #blue",fake
"Jewellery, Ring, Engagement ring, Fashion accessory, Gemstone, Blue, Finger, Turquoise, Aqua, Pre-engagement ring",#Blue_love #blue_blue #blue #blue,fake
"Blue, Orange, Tableware, Bowl, Serveware, Mosaic, Saucer, Acrylic paint, Illustration, Plate","It can not be compared to anyone, or concrete things! Maybe he compares the pleasure of coffee, the warmth of a turquoise song, night craving, the blue of the sky, the depth of the sea .. then he wins .. #blue_love #heart_blue #blue #blue",fake
EMPTY,O Lord .. #blue_love #blue_blue #blue #blue,fake
"Blue, Cobalt blue, Turquoise, Fashion accessory, Electric blue, Bag, Handbag, Coin purse, Metal",Beauty .. #blue_love #blue_blue #blue #blue,fake
"Jewellery, Ring, Engagement ring, Fashion accessory, Gemstone, Diamond, Body jewelry, Wedding ceremony supply, Wedding ring, Platinum",#Blue_love #blue_blue #blue #blue,fake
